     100, 0.264, 0.339, 0.329, 0.280, 0.303, 0.280, 0.333, 0.557, 0.396, 0.430, 0.590, 0.356, 0.223, 0.353, 0.325, 0.650, 0.541, 0.422, 0.515, 0.589, 0.367, 0.277, 0.379, 0.459, 0.200, 0.346, 0.268, 0.485, 0.711, 0.506, 0.368, 0.562, 0.736, 0.529, 0.376, 0.484, 0.230, 0.558, 0.275, 0.517, 0.690, 0.380, 0.352, 0.464, 0.481, 0.604, 0.612, 0.428, 0.352, 0.526
     110, 0.267, 0.560, 0.340, 0.281, 0.258, 0.284, 0.346, 0.567, 0.517, 0.413, 0.588, 0.296, 0.219, 0.347, 0.351, 0.652, 0.601, 0.324, 0.603, 0.585, 0.355, 0.285, 0.372, 0.386, 0.217, 0.337, 0.295, 0.519, 0.721, 0.531, 0.337, 0.559, 0.733, 0.635, 0.359, 0.706, 0.247, 0.574, 0.266, 0.502, 0.725, 0.368, 0.250, 0.479, 0.569, 0.566, 0.636, 0.412, 0.405, 0.399
     120, 0.247, 0.597, 0.344, 0.331, 0.282, 0.299, 0.336, 0.588, 0.543, 0.363, 0.593, 0.272, 0.216, 0.355, 0.364, 0.609, 0.648, 0.305, 0.636, 0.594, 0.341, 0.313, 0.381, 0.398, 0.219, 0.335, 0.284, 0.506, 0.734, 0.525, 0.342, 0.567, 0.738, 0.639, 0.309, 0.766, 0.238, 0.569, 0.311, 0.490, 0.741, 0.369, 0.221, 0.482, 0.568, 0.529, 0.658, 0.375, 0.416, 0.341
     130, 0.236, 0.608, 0.346, 0.344, 0.291, 0.305, 0.335, 0.596, 0.606, 0.360, 0.618, 0.257, 0.212, 0.362, 0.353, 0.572, 0.710, 0.269, 0.679, 0.586, 0.344, 0.328, 0.372, 0.395, 0.221, 0.346, 0.286, 0.474, 0.742, 0.534, 0.359, 0.566, 0.752, 0.637, 0.279, 0.781, 0.227, 0.560, 0.334, 0.491, 0.740, 0.371, 0.215, 0.482, 0.528, 0.492, 0.654, 0.296, 0.422, 0.313
     140, 0.224, 0.617, 0.348, 0.354, 0.292, 0.315, 0.339, 0.617, 0.684, 0.362, 0.627, 0.253, 0.216, 0.363, 0.342, 0.553, 0.746, 0.222, 0.727, 0.577, 0.348, 0.336, 0.367, 0.421, 0.226, 0.347, 0.297, 0.433, 0.749, 0.557, 0.388, 0.571, 0.754, 0.643, 0.265, 0.790, 0.211, 0.567, 0.347, 0.494, 0.748, 0.377, 0.219, 0.500, 0.514, 0.455, 0.633, 0.274, 0.425, 0.306
     150, 0.222, 0.613, 0.351, 0.349, 0.301, 0.313, 0.349, 0.632, 0.706, 0.340, 0.635, 0.245, 0.224, 0.363, 0.348, 0.529, 0.751, 0.208, 0.730, 0.571, 0.353, 0.327, 0.369, 0.440, 0.230, 0.343, 0.301, 0.386, 0.757, 0.572, 0.432, 0.575, 0.757, 0.649, 0.268, 0.801, 0.209, 0.567, 0.347, 0.495, 0.750, 0.371, 0.217, 0.492, 0.507, 0.410, 0.627, 0.282, 0.428, 0.291
     160, 0.221, 0.621, 0.344, 0.357, 0.321, 0.315, 0.344, 0.640, 0.717, 0.341, 0.643, 0.244, 0.218, 0.361, 0.351, 0.512, 0.746, 0.196, 0.745, 0.571, 0.346, 0.324, 0.368, 0.445, 0.231, 0.346, 0.318, 0.371, 0.760, 0.588, 0.453, 0.581, 0.765, 0.652, 0.261, 0.801, 0.190, 0.574, 0.356, 0.493, 0.752, 0.374, 0.219, 0.493, 0.511, 0.401, 0.614, 0.290, 0.429, 0.281
     170, 0.225, 0.643, 0.349, 0.361, 0.341, 0.344, 0.343, 0.642, 0.715, 0.349, 0.653, 0.242, 0.223, 0.341, 0.349, 0.515, 0.745, 0.201, 0.758, 0.569, 0.345, 0.329, 0.364, 0.454, 0.249, 0.347, 0.326, 0.371, 0.761, 0.597, 0.463, 0.583, 0.763, 0.657, 0.261, 0.801, 0.191, 0.563, 0.355, 0.485, 0.754, 0.378, 0.224, 0.489, 0.506, 0.396, 0.619, 0.307, 0.436, 0.279
     180, 0.222, 0.649, 0.348, 0.360, 0.343, 0.355, 0.340, 0.635, 0.716, 0.352, 0.661, 0.238, 0.228, 0.340, 0.343, 0.504, 0.751, 0.208, 0.774, 0.563, 0.346, 0.342, 0.364, 0.473, 0.246, 0.347, 0.330, 0.350, 0.763, 0.614, 0.467, 0.582, 0.769, 0.651, 0.252, 0.798, 0.192, 0.554, 0.349, 0.492, 0.751, 0.382, 0.232, 0.491, 0.501, 0.392, 0.618, 0.319, 0.434, 0.270
     190, 0.223, 0.651, 0.340, 0.363, 0.347, 0.373, 0.354, 0.637, 0.713, 0.364, 0.651, 0.233, 0.231, 0.348, 0.351, 0.498, 0.748, 0.205, 0.781, 0.549, 0.346, 0.343, 0.367, 0.478, 0.241, 0.351, 0.336, 0.343, 0.770, 0.638, 0.479, 0.578, 0.763, 0.649, 0.249, 0.797, 0.194, 0.556, 0.359, 0.496, 0.761, 0.378, 0.229, 0.491, 0.510, 0.394, 0.600, 0.315, 0.444, 0.266
     200, 0.217, 0.642, 0.634, 0.261, 0.573, 0.524, 0.512, 0.534, 0.785, 0.230, 0.646, 0.246, 0.419, 0.292, 0.530, 0.475, 0.781, 0.416, 0.659, 0.514, 0.343, 0.351, 0.557, 0.654, 0.725, 0.353, 0.304, 0.280, 0.620, 0.532, 0.481, 0.566, 0.660, 0.745, 0.346, 0.580, 0.163, 0.332, 0.337, 0.720, 0.614, 0.364, 0.483, 0.526, 0.734, 0.434, 0.383, 0.620, 0.452, 0.250
     210, 0.232, 0.626, 0.675, 0.258, 0.538, 0.482, 0.538, 0.574, 0.802, 0.257, 0.676, 0.247, 0.391, 0.271, 0.580, 0.500, 0.785, 0.383, 0.765, 0.507, 0.345, 0.367, 0.529, 0.659, 0.649, 0.367, 0.281, 0.239, 0.725, 0.503, 0.469, 0.632, 0.582, 0.755, 0.278, 0.664, 0.174, 0.285, 0.360, 0.693, 0.697, 0.375, 0.374, 0.513, 0.737, 0.441, 0.323, 0.552, 0.457, 0.249
     220, 0.241, 0.638, 0.713, 0.270, 0.523, 0.408, 0.563, 0.610, 0.803, 0.268, 0.693, 0.238, 0.456, 0.268, 0.628, 0.440, 0.780, 0.383, 0.800, 0.498, 0.347, 0.366, 0.541, 0.659, 0.730, 0.376, 0.245, 0.226, 0.773, 0.471, 0.473, 0.657, 0.529, 0.751, 0.245, 0.730, 0.183, 0.249, 0.361, 0.684, 0.761, 0.363, 0.308, 0.450, 0.778, 0.417, 0.262, 0.498, 0.449, 0.248
     230, 0.238, 0.645, 0.724, 0.281, 0.519, 0.361, 0.554, 0.621, 0.812, 0.280, 0.718, 0.236, 0.483, 0.258, 0.641, 0.399, 0.788, 0.395, 0.810, 0.495, 0.350, 0.362, 0.577, 0.642, 0.782, 0.371, 0.236, 0.225, 0.773, 0.457, 0.485, 0.665, 0.502, 0.755, 0.236, 0.786, 0.169, 0.242, 0.361, 0.669, 0.774, 0.359, 0.257, 0.385, 0.764, 0.400, 0.241, 0.432, 0.441, 0.241
     240, 0.241, 0.645, 0.718, 0.273, 0.510, 0.346, 0.523, 0.621, 0.803, 0.272, 0.747, 0.225, 0.490, 0.239, 0.648, 0.399, 0.785, 0.390, 0.816, 0.495, 0.349, 0.366, 0.605, 0.644, 0.808, 0.376, 0.228, 0.223, 0.783, 0.453, 0.482, 0.641, 0.486, 0.762, 0.234, 0.803, 0.159, 0.234, 0.351, 0.660, 0.785, 0.359, 0.256, 0.362, 0.760, 0.396, 0.236, 0.391, 0.446, 0.235
